Department_group,Organisation,Organisation_Code,Response rate,Employee engagement index,My work,Organisational objectives and purpose,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload,Pay and benefits,Leadership and managing change,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives,B07. I understand how my work contributes to [my organisation's] objectives,B08. My manager motivates me to be more effective in my job,B09. My manager is considerate of my life outside work,B10. My manager is open to my ideas,B11. My manager helps me to understand how I contribute to [my organisation's] objectives,"B12. Overall, I have confidence in the decisions made by my manager",B13. My manager recognises when I have done my job well,B14. I receive regular feedback on my performance,B15. The feedback I receive helps me to improve my performance,B16. I think that my performance is evaluated fairly,B17. Poor performance is dealt with effectively in my team,B18. The people in my team can be relied upon to help when things get difficult in my job,B19. The people in my team work together to find ways to improve the service we provide,B20. The people in my team are encouraged to come up with new and better ways of doing things,B21. I am able to access the right learning and development opportunities when I need to,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B23. There are opportunities for me to develop my career in [my organisation],B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B25. I am treated fairly at work,B26. I am treated with respect by the people I work with,B27. I feel valued for the work I do,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",B29. I get the information I need to do my job well,B30. I have clear work objectives,B31. I have the skills I need to do my job effectively,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance,B36. I am satisfied with the total benefits package,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B38. [Senior managers] in [my organisation] are sufficiently visible,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values,B40. I believe that [the board has] a clear vision for the future of [my organisation],"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B42. I feel that change is managed well in [my organisation],B43. When changes are made in [my organisation] they are usually for the better,B44. [My organisation] keeps me informed about matters that affect me,B45. I have the opportunity to contribute my views before decisions are made that affect me,B46. I think it is safe to challenge the way things are done in [my organisation],B47. I am proud when I tell others I am part of [my organisation],B48. I would recommend [my organisation] as a great place to work,B49. I feel a strong personal attachment to [my organisation],B50. [My organisation] inspires me to do the best in my job,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey,"B53. Where I work, I think effective action has been taken on the results of the last survey",B54. I am trusted to carry out my job effectively,"B55. I believe I would be supported if I try a new idea, even if it may not work","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B60. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)",PERMA Index,Proxy Stress Index
"Business, Energy & Industrial Strategy",Intellectual Property Office,IPO,80%,68%,80%,86%,73%,84%,72%,82%,81%,38%,56%,90%,88%,78%,63%,80%,84%,88%,74%,88%,85%,68%,81%,80%,75%,70%,70%,43%,89%,84%,80%,83%,70%,71%,64%,84%,88%,68%,87%,82%,84%,92%,78%,68%,81%,35%,49%,29%,65%,58%,59%,58%,44%,45%,69%,47%,56%,71%,78%,57%,59%,57%,54%,39%,89%,77%,75%,68%,89%,53%,70%,70%,59%,91%,65%,78%,12%,9%,46%,28%,68%,69%,61%,35%,74%,25%
"Business, Energy & Industrial Strategy",Met Office,MET,74%,61%,77%,77%,69%,83%,53%,75%,69%,32%,36%,91%,83%,79%,56%,75%,75%,78%,67%,87%,85%,62%,74%,78%,66%,60%,69%,39%,86%,85%,78%,61%,52%,44%,53%,79%,87%,60%,74%,66%,74%,87%,67%,58%,61%,35%,37%,24%,45%,43%,35%,30%,20%,25%,48%,29%,49%,72%,52%,58%,48%,42%,37%,27%,91%,75%,69%,69%,75%,38%,67%,44%,30%,91%,68%,75%,13%,12%,43%,23%,61%,67%,56%,33%,73%,31%
"Business, Energy & Industrial Strategy",The Insolvency Service,INSS,83%,62%,79%,89%,79%,85%,57%,84%,78%,35%,50%,89%,82%,78%,66%,81%,87%,91%,78%,88%,87%,79%,82%,85%,81%,74%,79%,54%,89%,85%,80%,71%,59%,50%,49%,86%,91%,74%,84%,76%,87%,92%,68%,67%,79%,33%,41%,32%,64%,53%,52%,46%,37%,35%,61%,46%,52%,59%,57%,54%,54%,52%,52%,53%,92%,76%,71%,74%,82%,49%,77%,72%,64%,90%,74%,76%,8%,8%,36%,15%,64%,70%,63%,30%,74%,26%
Cabinet Office,Cabinet Office,CO,90%,67%,78%,77%,70%,84%,54%,80%,73%,31%,48%,91%,80%,79%,62%,79%,76%,78%,74%,85%,84%,61%,78%,81%,67%,65%,66%,40%,86%,85%,80%,61%,52%,55%,48%,83%,85%,73%,77%,71%,71%,90%,75%,64%,67%,33%,34%,25%,64%,55%,38%,52%,35%,35%,59%,41%,50%,80%,68%,49%,57%,52%,55%,43%,89%,78%,71%,69%,77%,52%,72%,75%,57%,93%,62%,72%,13%,13%,44%,21%,70%,75%,65%,32%,75%,28%
Cabinet Office,Crown Commercial Service,CCS,95%,66%,82%,90%,78%,86%,64%,82%,78%,37%,56%,94%,85%,83%,66%,81%,90%,90%,79%,92%,89%,81%,82%,85%,75%,73%,71%,48%,86%,86%,85%,76%,67%,57%,56%,85%,88%,73%,82%,74%,79%,93%,75%,67%,78%,37%,43%,30%,72%,63%,71%,63%,31%,37%,70%,43%,55%,68%,65%,52%,58%,55%,62%,53%,92%,82%,77%,72%,84%,59%,82%,79%,66%,92%,74%,73%,14%,14%,40%,20%,70%,73%,67%,29%,76%,26%
Cabinet Office,Civil Service HR,CSHR,85%,63%,79%,76%,72%,86%,57%,79%,72%,38%,57%,91%,82%,80%,63%,79%,73%,79%,76%,88%,86%,68%,77%,81%,68%,67%,68%,43%,85%,88%,85%,66%,54%,57%,49%,81%,85%,71%,79%,70%,76%,88%,74%,59%,68%,39%,44%,32%,73%,61%,61%,58%,43%,45%,63%,50%,57%,61%,63%,47%,50%,51%,65%,55%,91%,79%,74%,70%,80%,62%,78%,88%,82%,94%,70%,76%,14%,12%,44%,24%,68%,73%,64%,35%,75%,27%
Cabinet Office,Government Property Agency,GPA,96%,57%,75%,76%,71%,82%,53%,71%,68%,29%,48%,87%,76%,66%,55%,87%,74%,78%,71%,87%,85%,71%,76%,80%,65%,64%,66%,40%,86%,85%,76%,63%,53%,48%,45%,76%,80%,63%,65%,53%,65%,90%,68%,60%,71%,33%,33%,23%,62%,50%,56%,50%,31%,37%,53%,41%,50%,53%,46%,35%,42%,39%,56%,34%,90%,67%,63%,63%,68%,45%,68%,85%,77%,89%,66%,68%,18%,17%,25%,15%,66%,73%,66%,33%,72%,30%
Charity Commission,Charity Commission,CC,91%,65%,80%,87%,71%,87%,52%,80%,67%,27%,55%,94%,86%,78%,65%,77%,88%,87%,73%,88%,84%,70%,78%,81%,64%,65%,66%,41%,90%,88%,83%,61%,60%,45%,45%,82%,87%,71%,81%,68%,67%,83%,62%,54%,66%,27%,32%,22%,68%,59%,63%,56%,41%,38%,66%,51%,49%,67%,57%,57%,53%,52%,52%,36%,88%,77%,64%,61%,75%,58%,72%,51%,40%,96%,75%,72%,7%,10%,26%,17%,70%,74%,66%,35%,76%,27%
Defence,Ministry of Defence,MOD,62%,61%,76%,76%,66%,78%,52%,76%,69%,30%,35%,89%,80%,75%,61%,75%,74%,79%,66%,80%,79%,59%,73%,77%,60%,58%,65%,43%,82%,79%,74%,61%,47%,53%,49%,81%,83%,66%,73%,65%,75%,86%,61%,61%,67%,31%,33%,27%,48%,45%,37%,36%,20%,18%,45%,27%,40%,65%,50%,59%,45%,40%,32%,25%,89%,72%,65%,72%,75%,37%,56%,39%,29%,88%,65%,60%,13%,12%,41%,21%,64%,69%,61%,28%,72%,31%
Defence,Defence Electronics and Components Agency,DECA,66%,47%,62%,57%,44%,66%,28%,52%,59%,16%,31%,77%,61%,65%,44%,60%,55%,59%,42%,62%,56%,41%,46%,52%,37%,34%,40%,27%,74%,71%,53%,33%,32%,24%,25%,52%,68%,40%,48%,54%,59%,75%,56%,48%,59%,13%,22%,12%,34%,29%,41%,31%,19%,21%,43%,26%,34%,42%,30%,43%,29%,26%,28%,23%,78%,52%,58%,49%,47%,24%,33%,49%,31%,80%,46%,39%,35%,21%,34%,7%,53%,61%,52%,37%,66%,41%
Defence,Defence Equipment & Support,DES,78%,44%,72%,64%,62%,74%,45%,69%,60%,21%,32%,86%,77%,70%,53%,74%,63%,64%,66%,83%,81%,55%,74%,76%,56%,53%,48%,29%,79%,76%,67%,47%,44%,44%,44%,72%,82%,55%,67%,53%,61%,82%,51%,51%,65%,22%,25%,17%,51%,39%,32%,30%,13%,16%,45%,20%,37%,39%,31%,27%,25%,23%,35%,32%,87%,68%,63%,67%,70%,35%,60%,35%,23%,83%,55%,55%,16%,13%,35%,19%,59%,64%,56%,32%,69%,35%
Defence,Dstl,DSTL,79%,60%,80%,75%,61%,76%,56%,76%,65%,24%,42%,92%,84%,79%,61%,83%,75%,76%,59%,87%,81%,54%,68%,70%,53%,51%,58%,29%,80%,77%,73%,62%,49%,59%,54%,78%,84%,64%,79%,62%,66%,86%,54%,53%,67%,23%,34%,16%,45%,45%,56%,42%,20%,21%,57%,35%,54%,66%,58%,53%,46%,41%,47%,28%,91%,76%,75%,71%,79%,44%,63%,52%,33%,92%,62%,72%,14%,11%,43%,18%,62%,67%,59%,33%,73%,32%
Defence,Submarine Delivery Agency,SDA,83%,49%,73%,67%,60%,74%,37%,69%,57%,20%,34%,87%,78%,69%,54%,75%,65%,69%,65%,84%,82%,54%,73%,73%,53%,49%,45%,25%,80%,75%,66%,41%,39%,34%,34%,73%,82%,56%,65%,50%,59%,81%,43%,48%,62%,22%,25%,14%,51%,45%,36%,37%,15%,17%,43%,23%,42%,44%,32%,33%,30%,29%,38%,21%,88%,68%,64%,69%,64%,37%,57%,34%,20%,85%,54%,57%,16%,12%,35%,22%,59%,62%,57%,30%,69%,35%
Defence,UK Hydrographic Office,UKHO,70%,61%,74%,73%,65%,85%,48%,73%,72%,26%,39%,88%,75%,72%,56%,78%,69%,76%,65%,85%,81%,60%,72%,74%,59%,55%,65%,35%,88%,86%,81%,59%,48%,41%,45%,79%,84%,61%,69%,67%,69%,85%,64%,69%,77%,21%,37%,21%,42%,38%,37%,30%,24%,33%,55%,38%,50%,70%,55%,53%,45%,40%,36%,31%,92%,75%,69%,62%,69%,33%,66%,39%,27%,87%,62%,67%,11%,11%,45%,25%,62%,65%,60%,31%,71%,30%
Department for Education,Department for Education,DFE,91%,65%,79%,83%,75%,85%,60%,83%,74%,47%,53%,89%,82%,77%,64%,82%,82%,83%,77%,89%,87%,68%,81%,83%,77%,69%,72%,44%,87%,86%,82%,66%,58%,63%,51%,85%,88%,75%,83%,73%,73%,88%,77%,63%,72%,48%,49%,43%,67%,61%,46%,56%,41%,38%,69%,43%,53%,70%,70%,52%,56%,54%,56%,44%,90%,76%,73%,68%,82%,57%,73%,77%,58%,95%,67%,77%,10%,9%,37%,17%,68%,73%,64%,33%,74%,27%
Department for Exiting the European Union,Department for Exiting the European Union,DEXEU,92%,68%,77%,85%,73%,90%,68%,83%,70%,34%,64%,91%,81%,76%,58%,78%,83%,88%,78%,90%,88%,71%,81%,86%,65%,65%,68%,41%,94%,91%,85%,74%,62%,73%,62%,88%,87%,76%,80%,68%,61%,89%,81%,60%,63%,36%,39%,28%,86%,76%,54%,76%,58%,48%,68%,48%,66%,67%,68%,56%,68%,67%,70%,47%,89%,83%,83%,76%,81%,75%,79%,68%,47%,94%,54%,81%,8%,7%,43%,15%,69%,74%,61%,39%,76%,26%
Department for International Development,Department for International Development,DFID,85%,72%,80%,87%,73%,81%,61%,78%,71%,39%,51%,95%,84%,81%,64%,79%,87%,88%,75%,85%,85%,69%,76%,82%,74%,69%,71%,44%,81%,82%,79%,61%,59%,64%,61%,82%,85%,72%,74%,73%,81%,90%,66%,55%,63%,40%,41%,36%,69%,59%,48%,52%,36%,33%,63%,46%,51%,85%,73%,69%,67%,64%,59%,51%,88%,71%,77%,67%,76%,58%,72%,66%,50%,96%,74%,76%,15%,13%,37%,23%,68%,75%,65%,35%,75%,29%
Department for International Trade,Department for International Trade,DIT,89%,64%,79%,86%,71%,82%,55%,79%,69%,24%,50%,92%,83%,79%,61%,79%,85%,87%,73%,84%,84%,72%,75%,81%,68%,67%,67%,42%,83%,82%,79%,63%,56%,51%,50%,82%,85%,71%,78%,64%,76%,88%,66%,57%,64%,25%,27%,19%,65%,57%,59%,52%,35%,35%,61%,37%,49%,70%,59%,49%,54%,53%,53%,41%,88%,74%,67%,66%,78%,57%,70%,56%,45%,88%,62%,70%,13%,12%,40%,19%,68%,73%,65%,34%,74%,29%
"Digital, Culture, Media & Sport","Department for Digital, Culture, Media and Sport",DCMS,91%,70%,79%,85%,72%,84%,59%,83%,72%,33%,57%,91%,81%,80%,65%,81%,86%,85%,75%,88%,87%,67%,81%,84%,66%,66%,66%,40%,87%,85%,80%,66%,54%,62%,51%,85%,88%,75%,84%,72%,73%,87%,75%,60%,67%,36%,37%,27%,67%,63%,51%,61%,48%,47%,72%,48%,59%,78%,78%,57%,61%,60%,66%,43%,88%,78%,77%,70%,83%,59%,76%,66%,48%,94%,61%,77%,9%,10%,39%,23%,70%,75%,66%,34%,75%,27%
"Digital, Culture, Media & Sport",The National Archives,TNA,73%,67%,79%,83%,73%,83%,49%,80%,74%,22%,51%,93%,81%,79%,61%,82%,82%,83%,71%,87%,87%,74%,78%,84%,70%,67%,70%,40%,85%,84%,81%,61%,46%,42%,46%,82%,89%,71%,80%,75%,78%,89%,70%,59%,71%,20%,31%,15%,65%,55%,55%,49%,35%,35%,63%,51%,47%,75%,60%,60%,55%,50%,47%,26%,92%,78%,65%,65%,75%,50%,63%,40%,29%,93%,64%,77%,5%,5%,39%,22%,60%,65%,58%,37%,74%,26%
"Environment, Food & Rural Affairs","Department for Environment, Food & Rural Affairs",DEFRA,72%,61%,77%,78%,70%,83%,55%,80%,67%,34%,45%,91%,82%,75%,58%,81%,77%,79%,73%,88%,86%,63%,79%,80%,64%,63%,65%,38%,86%,83%,79%,64%,53%,56%,47%,85%,87%,70%,78%,65%,68%,86%,65%,53%,64%,34%,39%,29%,59%,56%,34%,50%,33%,30%,58%,37%,50%,63%,60%,45%,47%,46%,49%,28%,90%,76%,68%,69%,79%,51%,69%,60%,41%,90%,60%,72%,10%,9%,34%,26%,66%,71%,60%,36%,73%,29%
"Environment, Food & Rural Affairs",Animal and Plant Health Agency,APHA,62%,53%,70%,75%,65%,74%,46%,70%,65%,25%,33%,89%,78%,71%,47%,66%,73%,78%,63%,83%,79%,63%,68%,74%,68%,56%,61%,36%,80%,76%,67%,57%,48%,40%,39%,74%,81%,56%,71%,60%,69%,84%,65%,52%,61%,22%,32%,22%,45%,41%,27%,34%,20%,19%,45%,26%,38%,48%,37%,39%,35%,33%,32%,24%,85%,61%,63%,59%,68%,36%,60%,55%,38%,94%,72%,61%,14%,13%,40%,21%,59%,64%,57%,33%,71%,34%
"Environment, Food & Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science",CEFAS,100%,66%,81%,75%,66%,80%,60%,77%,72%,25%,45%,92%,86%,81%,62%,81%,72%,77%,67%,85%,80%,60%,71%,76%,60%,57%,64%,41%,84%,80%,77%,68%,56%,57%,58%,79%,85%,67%,76%,70%,74%,89%,77%,55%,65%,23%,34%,17%,54%,49%,55%,45%,30%,33%,58%,37%,45%,73%,63%,57%,53%,48%,44%,23%,91%,76%,71%,65%,74%,46%,61%,41%,36%,92%,66%,74%,11%,11%,48%,18%,67%,72%,63%,34%,75%,30%
"Environment, Food & Rural Affairs",Rural Payments Agency,RPA,65%,48%,62%,71%,65%,77%,35%,70%,67%,22%,36%,78%,73%,61%,39%,58%,70%,72%,65%,85%,76%,58%,74%,74%,64%,58%,61%,38%,85%,79%,67%,51%,36%,28%,25%,76%,82%,56%,67%,57%,67%,81%,62%,63%,72%,21%,26%,20%,46%,40%,40%,35%,28%,24%,46%,27%,35%,29%,34%,27%,28%,27%,34%,23%,84%,58%,57%,59%,68%,36%,62%,56%,38%,88%,69%,64%,14%,12%,36%,16%,60%,64%,57%,30%,69%,33%
"Environment, Food & Rural Affairs",Veterinary Medicines Directorate,VMD,76%,64%,77%,93%,72%,86%,59%,73%,82%,25%,54%,91%,80%,72%,57%,83%,91%,94%,70%,89%,87%,68%,76%,82%,69%,61%,70%,46%,89%,89%,80%,85%,66%,41%,44%,75%,86%,59%,70%,83%,88%,92%,84%,68%,77%,25%,29%,21%,55%,55%,64%,57%,50%,44%,64%,43%,48%,62%,58%,46%,55%,50%,50%,32%,91%,69%,76%,63%,71%,52%,63%,53%,46%,92%,75%,73%,8%,10%,25%,42%,65%,73%,59%,31%,73%,27%
