Departmental grouping,Organisation,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)"
"Business, Innovation and Skills",Intellectual Property Office,54%,68%,75%,61%,69%,51%,68%,71%,36%,27%,86%,75%,69%,44%,68%,79%,67%,77%,55%,75%,74%,51%,67%,72%,61%,56%,60%,36%,82%,71%,53%,63%,57%,39%,46%,74%,83%,52%,62%,77%,63%,71%,87%,74%,56%,69%,34%,46%,27%,25%,30%,26%,25%,22%,17%,15%,45%,29%,28%,47%,42%,39%,32%,28%,29%,38%,72%,34%,56%,8%,8%
"Business, Innovation and Skills",National Measurement Office,62%,75%,83%,71%,72%,57%,76%,77%,38%,57%,89%,74%,73%,68%,70%,84%,82%,84%,70%,84%,79%,79%,73%,77%,74%,63%,67%,36%,74%,69%,72%,71%,62%,40%,55%,78%,83%,69%,74%,86%,81%,84%,88%,78%,60%,64%,34%,49%,32%,67%,66%,59%,53%,56%,60%,52%,57%,57%,48%,54%,61%,42%,46%,47%,56%,57%,93%,53%,77%,5%,9%
"Business, Innovation and Skills",Office of Fair Trading,62%,73%,88%,66%,77%,46%,74%,72%,33%,47%,90%,73%,74%,58%,68%,91%,87%,85%,62%,77%,79%,59%,71%,79%,64%,63%,65%,42%,80%,79%,72%,57%,49%,35%,43%,80%,85%,61%,71%,76%,68%,67%,87%,72%,65%,68%,33%,41%,26%,54%,56%,45%,54%,51%,33%,33%,63%,36%,41%,67%,54%,54%,50%,48%,43%,50%,75%,36%,55%,7%,8%
Cabinet Office,Cabinet Office,62%,81%,71%,70%,85%,54%,80%,73%,44%,39%,93%,82%,82%,66%,79%,73%,67%,73%,72%,83%,85%,58%,79%,84%,66%,66%,67%,42%,89%,87%,80%,68%,52%,46%,49%,85%,89%,73%,74%,81%,70%,78%,89%,71%,60%,63%,46%,50%,36%,41%,50%,40%,28%,39%,23%,22%,61%,38%,47%,74%,57%,45%,49%,43%,49%,67%,93%,55%,70%,7%,7%
Cabinet Office,Central Office of Information,69%,78%,80%,67%,80%,58%,81%,75%,62%,47%,95%,82%,81%,58%,76%,84%,78%,77%,67%,83%,86%,59%,75%,78%,60%,61%,65%,40%,83%,82%,74%,75%,61%,41%,56%,85%,88%,71%,80%,81%,63%,71%,92%,74%,69%,73%,61%,72%,54%,61%,36%,41%,54%,50%,32%,41%,70%,35%,49%,77%,77%,61%,63%,54%,50%,51%,78%,36%,63%,6%,7%
Cabinet Office,National School of Government,62%,81%,69%,62%,81%,51%,73%,71%,37%,34%,94%,81%,81%,62%,87%,69%,63%,75%,62%,73%,76%,60%,69%,73%,57%,54%,54%,36%,84%,81%,77%,73%,55%,35%,44%,75%,85%,62%,70%,79%,64%,62%,94%,67%,63%,68%,34%,44%,33%,27%,36%,33%,28%,29%,24%,28%,57%,40%,38%,60%,51%,61%,49%,40%,45%,51%,88%,52%,63%,12%,13%
Child Maintenance and Enforcement Commission,Commission Executive,60%,76%,86%,62%,86%,33%,75%,64%,56%,51%,93%,79%,75%,58%,78%,91%,87%,81%,66%,70%,79%,59%,74%,72%,54%,57%,52%,34%,89%,88%,80%,43%,24%,38%,24%,81%,88%,65%,64%,64%,53%,54%,88%,70%,61%,61%,58%,58%,52%,57%,58%,51%,75%,63%,36%,41%,51%,31%,46%,61%,53%,40%,50%,52%,55%,61%,87%,44%,70%,3%,4%
Child Maintenance and Enforcement Commission,Child Support Agency,40%,55%,88%,60%,73%,36%,63%,63%,20%,24%,80%,68%,56%,30%,43%,91%,87%,85%,59%,70%,69%,60%,64%,74%,60%,54%,53%,38%,83%,77%,58%,53%,46%,21%,24%,71%,83%,43%,56%,77%,48%,61%,77%,56%,56%,64%,18%,27%,16%,21%,23%,21%,33%,18%,21%,20%,46%,14%,20%,20%,16%,24%,24%,22%,16%,24%,66%,39%,43%,14%,12%
Child Maintenance and Enforcement Commission,Corporate Services,51%,65%,69%,59%,74%,46%,69%,70%,33%,44%,81%,66%,66%,51%,62%,69%,68%,71%,57%,68%,71%,53%,63%,69%,56%,55%,56%,38%,82%,75%,65%,61%,44%,42%,36%,75%,82%,58%,63%,79%,56%,68%,81%,71%,65%,69%,34%,39%,26%,50%,51%,46%,49%,43%,36%,32%,56%,32%,43%,29%,35%,23%,30%,31%,44%,41%,75%,47%,59%,14%,11%
"Children, Schools and Families","Department for Children, Schools and Families",63%,80%,88%,73%,84%,56%,82%,75%,53%,49%,91%,83%,78%,65%,81%,90%,86%,86%,72%,85%,87%,68%,80%,84%,72%,69%,65%,47%,87%,85%,80%,60%,55%,53%,54%,86%,89%,73%,79%,84%,71%,79%,88%,80%,57%,64%,54%,58%,47%,58%,57%,46%,52%,47%,42%,33%,69%,42%,46%,59%,58%,52%,52%,49%,48%,61%,94%,56%,70%,8%,8%
Communities and Local Government,Department for Communities and Local Government,53%,74%,70%,66%,79%,52%,76%,69%,46%,38%,90%,77%,72%,59%,74%,71%,66%,73%,65%,80%,82%,54%,76%,79%,61%,58%,63%,39%,83%,79%,73%,64%,52%,46%,47%,81%,86%,65%,73%,78%,63%,72%,87%,63%,57%,64%,47%,49%,41%,37%,47%,34%,32%,34%,26%,21%,59%,43%,40%,38%,43%,31%,31%,29%,38%,49%,91%,51%,62%,10%,11%
Communities and Local Government,Fire Service College,62%,70%,68%,51%,74%,34%,66%,63%,36%,25%,88%,79%,76%,45%,64%,72%,61%,71%,49%,61%,64%,45%,53%,61%,46%,46%,45%,34%,76%,74%,70%,42%,35%,20%,40%,71%,78%,55%,58%,77%,48%,61%,84%,58%,53%,62%,33%,41%,32%,21%,22%,21%,30%,23%,15%,19%,41%,27%,27%,68%,46%,62%,49%,39%,27%,33%,67%,35%,34%,17%,18%
Communities and Local Government,Government Equalities Office,59%,80%,81%,67%,82%,40%,75%,64%,49%,55%,97%,87%,82%,63%,69%,83%,79%,82%,65%,76%,81%,63%,74%,82%,61%,63%,66%,38%,86%,86%,75%,48%,44%,31%,35%,78%,79%,69%,74%,74%,68%,72%,89%,64%,36%,42%,54%,49%,45%,52%,82%,59%,56%,58%,41%,39%,64%,45%,52%,56%,42%,42%,49%,49%,65%,65%,86%,45%,61%,9%,18%
Communities and Local Government,Government Office Network,53%,75%,69%,69%,79%,47%,76%,73%,45%,40%,89%,76%,71%,60%,79%,72%,66%,71%,66%,83%,83%,59%,76%,81%,68%,62%,68%,41%,84%,80%,73%,61%,55%,30%,41%,81%,87%,66%,71%,79%,66%,77%,85%,71%,60%,71%,47%,50%,38%,42%,52%,41%,34%,38%,30%,21%,59%,39%,41%,38%,36%,35%,33%,31%,46%,54%,84%,49%,61%,8%,10%
Communities and Local Government,Ordnance Survey,62%,76%,69%,62%,85%,50%,74%,76%,42%,35%,92%,79%,78%,53%,78%,70%,60%,77%,58%,77%,79%,58%,67%,75%,56%,54%,61%,36%,89%,88%,78%,61%,58%,34%,48%,80%,88%,58%,69%,84%,63%,78%,89%,73%,67%,76%,41%,51%,34%,35%,34%,34%,32%,29%,26%,29%,53%,30%,44%,74%,44%,64%,48%,40%,32%,56%,64%,34%,56%,6%,7%
Communities and Local Government,The Planning Inspectorate,59%,72%,84%,66%,70%,54%,72%,76%,42%,30%,88%,79%,77%,43%,72%,89%,77%,85%,60%,81%,80%,57%,75%,77%,61%,60%,68%,38%,79%,69%,61%,66%,58%,44%,47%,77%,86%,59%,67%,88%,68%,79%,90%,80%,60%,66%,41%,50%,37%,34%,35%,33%,28%,26%,18%,13%,52%,29%,33%,56%,49%,49%,39%,31%,24%,33%,72%,30%,58%,8%,7%
"Culture, Media and Sport","Department for Culture, Media and Sport",56%,74%,63%,62%,78%,42%,73%,66%,32%,33%,91%,79%,72%,54%,73%,63%,59%,67%,61%,77%,80%,49%,69%,77%,58%,56%,61%,32%,82%,79%,72%,55%,45%,33%,37%,79%,85%,60%,67%,75%,54%,67%,86%,64%,55%,61%,33%,37%,26%,26%,47%,30%,21%,26%,15%,16%,59%,48%,43%,57%,41%,44%,35%,29%,38%,49%,87%,43%,66%,8%,8%
"Culture, Media and Sport",The Royal Parks,72%,83%,83%,66%,79%,51%,83%,71%,35%,47%,94%,83%,80%,67%,90%,87%,79%,84%,59%,80%,84%,61%,72%,77%,61%,54%,65%,44%,83%,81%,74%,62%,62%,33%,43%,85%,91%,70%,85%,83%,61%,75%,88%,77%,52%,63%,29%,44%,31%,53%,57%,47%,34%,45%,35%,37%,62%,38%,51%,84%,70%,69%,63%,57%,50%,47%,67%,32%,63%,3%,6%
Defence,Ministry of Defence,59%,75%,78%,61%,75%,58%,75%,71%,40%,26%,90%,76%,74%,58%,75%,81%,74%,78%,58%,74%,77%,51%,68%,74%,53%,52%,62%,41%,79%,76%,69%,71%,53%,53%,53%,83%,85%,63%,70%,82%,59%,72%,87%,65%,62%,68%,41%,44%,34%,26%,25%,28%,23%,21%,17%,13%,42%,23%,35%,58%,45%,53%,39%,34%,22%,31%,76%,51%,54%,11%,11%
Defence,UK Hydrographic Office,62%,75%,86%,64%,79%,48%,73%,73%,49%,31%,93%,76%,75%,60%,69%,89%,83%,86%,58%,74%,80%,59%,70%,79%,59%,54%,65%,37%,85%,80%,72%,64%,49%,37%,43%,78%,89%,63%,64%,82%,65%,71%,84%,71%,64%,71%,46%,60%,42%,34%,20%,25%,45%,28%,15%,25%,53%,28%,41%,72%,54%,53%,47%,41%,26%,34%,80%,46%,65%,9%,7%
Energy and Climate Change,Department of Energy and Climate Change,63%,79%,86%,65%,81%,45%,78%,66%,34%,47%,94%,82%,79%,64%,77%,90%,84%,85%,67%,78%,83%,61%,76%,77%,57%,57%,59%,35%,86%,81%,75%,54%,47%,43%,35%,82%,89%,69%,70%,79%,66%,68%,87%,66%,45%,51%,36%,39%,28%,44%,66%,50%,41%,48%,34%,34%,70%,35%,45%,73%,54%,45%,49%,47%,47%,53%,87%,38%,64%,5%,5%
"Environment, Food and Rural Affairs","Department for the Environment, Food and Rural Affairs",55%,77%,78%,63%,81%,52%,76%,72%,49%,35%,91%,82%,76%,60%,78%,78%,75%,79%,65%,81%,82%,56%,72%,76%,55%,56%,47%,37%,84%,82%,78%,61%,53%,45%,50%,79%,87%,64%,74%,80%,67%,75%,86%,74%,58%,64%,48%,53%,45%,36%,45%,33%,32%,31%,25%,21%,61%,31%,37%,48%,44%,41%,36%,34%,37%,54%,88%,46%,61%,12%,11%
"Environment, Food and Rural Affairs",Animal Health,53%,67%,72%,55%,76%,42%,68%,67%,49%,26%,90%,76%,70%,40%,60%,76%,68%,72%,53%,69%,71%,52%,60%,69%,51%,47%,47%,34%,84%,79%,67%,52%,50%,31%,36%,75%,83%,52%,63%,76%,54%,65%,86%,67%,56%,64%,46%,54%,47%,29%,30%,26%,33%,22%,16%,20%,41%,18%,27%,41%,38%,38%,36%,31%,31%,42%,73%,39%,51%,10%,12%
"Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science",62%,81%,74%,62%,75%,53%,77%,70%,28%,43%,94%,84%,81%,60%,83%,77%,71%,75%,56%,74%,82%,53%,70%,78%,58%,53%,63%,32%,77%,75%,73%,62%,51%,47%,53%,79%,89%,63%,77%,80%,68%,65%,88%,76%,51%,63%,24%,44%,16%,48%,45%,45%,48%,41%,27%,26%,62%,39%,45%,66%,56%,50%,43%,38%,45%,48%,58%,29%,58%,11%,8%
"Environment, Food and Rural Affairs",Food and Environment Research Agency,49%,72%,48%,54%,71%,34%,68%,67%,30%,23%,93%,77%,74%,41%,73%,51%,42%,51%,50%,73%,73%,36%,61%,71%,50%,44%,52%,27%,78%,72%,63%,52%,40%,17%,26%,75%,81%,55%,63%,75%,53%,66%,87%,68%,57%,62%,29%,37%,25%,20%,26%,22%,24%,18%,15%,14%,34%,25%,29%,38%,35%,26%,22%,18%,38%,44%,79%,40%,55%,10%,10%
"Environment, Food and Rural Affairs",Maritime and Fisheries Agency,47%,75%,51%,57%,70%,40%,71%,67%,31%,21%,94%,81%,76%,45%,79%,53%,43%,59%,58%,85%,78%,31%,63%,77%,60%,45%,57%,22%,73%,71%,66%,54%,47%,28%,31%,76%,83%,65%,62%,84%,56%,63%,88%,66%,48%,65%,31%,34%,29%,19%,22%,22%,21%,13%,14%,14%,31%,24%,31%,32%,30%,30%,19%,19%,14%,17%,69%,26%,32%,14%,16%
"Environment, Food and Rural Affairs",Rural Payments Agency,44%,58%,76%,60%,73%,35%,66%,64%,45%,19%,79%,66%,58%,34%,52%,79%,74%,75%,56%,76%,74%,52%,66%,74%,56%,51%,54%,37%,82%,75%,62%,52%,40%,22%,25%,72%,82%,47%,61%,74%,45%,53%,80%,60%,62%,73%,40%,50%,44%,15%,23%,16%,18%,12%,13%,11%,35%,18%,23%,19%,31%,26%,20%,19%,18%,34%,79%,47%,49%,14%,15%
"Environment, Food and Rural Affairs",Veterinary Laboratories Agency,58%,72%,84%,61%,73%,51%,75%,76%,26%,39%,90%,72%,74%,53%,71%,87%,81%,84%,54%,75%,76%,54%,66%,76%,61%,55%,62%,34%,79%,74%,66%,73%,53%,35%,43%,79%,82%,59%,78%,84%,66%,78%,90%,80%,60%,72%,20%,42%,18%,46%,33%,43%,46%,43%,29%,28%,55%,27%,36%,56%,48%,46%,40%,34%,33%,30%,82%,44%,63%,11%,13%
"Environment, Food and Rural Affairs",Veterinary Medicines Directorate,68%,79%,95%,71%,81%,61%,80%,83%,56%,70%,87%,79%,77%,64%,88%,96%,94%,95%,63%,85%,82%,65%,74%,83%,77%,67%,74%,44%,86%,84%,72%,86%,70%,37%,51%,85%,84%,71%,80%,89%,80%,87%,94%,89%,67%,77%,58%,62%,50%,77%,75%,75%,83%,78%,66%,55%,80%,53%,61%,70%,74%,61%,60%,56%,68%,59%,80%,45%,72%,6%,10%
Export Credit Guarantee Department,Export Credit Guarantee Department,58%,76%,83%,64%,75%,48%,74%,73%,37%,37%,90%,77%,72%,61%,82%,84%,79%,85%,63%,78%,77%,59%,71%,75%,57%,58%,63%,40%,81%,77%,68%,65%,49%,34%,44%,76%,83%,64%,74%,77%,66%,70%,88%,81%,60%,69%,36%,45%,30%,46%,41%,38%,34%,36%,25%,23%,53%,36%,39%,47%,43%,55%,39%,37%,35%,44%,90%,49%,63%,17%,17%
Food Standards Agency,Food Standards Agency,53%,75%,81%,66%,81%,51%,71%,74%,30%,22%,90%,74%,73%,57%,78%,84%,78%,82%,64%,75%,79%,63%,72%,78%,61%,60%,68%,44%,85%,84%,74%,70%,58%,31%,44%,73%,84%,63%,63%,79%,66%,77%,91%,77%,61%,68%,28%,40%,23%,21%,27%,22%,34%,18%,9%,12%,31%,26%,20%,52%,33%,42%,36%,33%,23%,44%,76%,38%,44%,10%,11%
