Department_group,Organisation,Organisation_Code,Response_rate,Employee engagement index,My work,Organisational objectives and purpose,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload,Pay and benefits,Leadership and managing change,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] purpose,B07. I have a clear understanding of [my organisation's] objectives,B08. I understand how my work contributes to [my organisation's] objectives,B09. My manager motivates me to be more effective in my job,B10. My manager is considerate of my life outside work,B11. My manager is open to my ideas,B12. My manager helps me to understand how I contribute to [my organisation's] objectives,"B13. Overall, I have confidence in the decisions made by my manager",B14. My manager recognises when I have done my job well,B15. I receive regular feedback on my performance,B16. The feedback I receive helps me to improve my performance,B17. I think that my performance is evaluated fairly,B18. Poor performance is dealt with effectively in my team,B19. The people in my team can be relied upon to help when things get difficult in my job,B20. The people in my team work together to find ways to improve the service we provide,B21. The people in my team are encouraged to come up with new and better ways of doing things,B22. I am able to access the right learning and development opportunities when I need to,B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B24. There are opportunities for me to develop my career in [my organisation],B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B26. I am treated fairly at work,B27. I am treated with respect by the people I work with,B28. I feel valued for the work I do,"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)","B30. In my job, I am clear what is expected of me",B31. I get the information I need to do my job well,B32. I have clear work objectives,B33. I have the skills I need to do my job effectively,B34. I have the tools I need to do my job effectively,B35. I have an acceptable workload,B36. I achieve a good balance between my work life and my private life,B37. I feel that my pay adequately reflects my performance,B38. I am satisfied with the total benefits package,B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B40. I feel that [my organisation] as a whole is managed well,B41. [Senior managers] in [my organisation] are sufficiently visible,B42. I believe the actions of [senior managers] are consistent with [my organisation's] values,B43. I believe that [the board has] a clear vision for the future of [my organisation],"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B45. I feel that change is managed well in [my organisation],B46. When changes are made in [my organisation] they are usually for the better,B47. [My organisation] keeps me informed about matters that affect me,B48. I have the opportunity to contribute my views before decisions are made that affect me,B49. I think it is safe to challenge the way things are done in [my organisation],B50. I am proud when I tell others I am part of [my organisation],B51. I would recommend [my organisation] as a great place to work,B52. I feel a strong personal attachment to [my organisation],B53. [My organisation] inspires me to do the best in my job,B54. [My organisation] motivates me to help it achieve its objectives,B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey,B56. I believe that managers where I work will take action on the results from this survey,"B57. Where I work, I think effective action has been taken on the results of the last survey",B58. I am trusted to carry out my job effectively,"B59. I believe I would be supported if I try a new idea, even if it may not work","B60. When I talk about [my organisation] I say ""we"" rather than ""they""",B61. I have some really good friendships at work,B62. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B63. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)"
"Business, Energy & Industrial Strategy",Land Registry,LR,74%,56%,66%,76%,62%,79%,40%,72%,73%,39%,33%,81%,80%,70%,40%,57%,80%,71%,78%,59%,77%,72%,63%,64%,71%,68%,56%,59%,32%,84%,82%,72%,57%,49%,24%,29%,76%,84%,55%,71%,84%,67%,74%,80%,72%,60%,72%,39%,39%,39%,35%,43%,33%,34%,27%,25%,21%,51%,26%,34%,48%,42%,51%,36%,34%,36%,46%,29%,84%,58%,65%,84%,31%,54%,90%,63%,67%,9%,9%,34%,21%,65%,69%,62%,50%
"Business, Energy & Industrial Strategy",Met Office,MET,76%,63%,79%,84%,70%,82%,55%,76%,72%,12%,47%,92%,85%,81%,60%,78%,89%,81%,83%,69%,87%,85%,66%,76%,79%,68%,62%,69%,41%,85%,82%,77%,60%,54%,49%,56%,81%,86%,61%,78%,83%,68%,76%,89%,61%,59%,66%,11%,16%,7%,50%,52%,55%,61%,49%,25%,30%,55%,38%,56%,75%,54%,60%,53%,47%,47%,56%,31%,92%,76%,78%,76%,50%,66%,92%,63%,77%,12%,9%,34%,21%,62%,69%,60%,49%
"Business, Energy & Industrial Strategy",The Insolvency Service,INSS,89%,59%,79%,89%,77%,83%,52%,81%,78%,37%,49%,88%,82%,79%,66%,79%,90%,87%,90%,75%,88%,84%,77%,79%,84%,81%,73%,75%,51%,87%,83%,80%,68%,55%,43%,43%,83%,89%,70%,80%,89%,77%,81%,91%,62%,68%,79%,36%,41%,34%,50%,66%,52%,54%,44%,35%,34%,61%,45%,48%,54%,47%,52%,49%,50%,57%,74%,61%,90%,73%,71%,82%,49%,69%,91%,76%,74%,10%,10%,36%,20%,67%,71%,65%,53%
Cabinet Office,Cabinet Office,CO,87%,65%,79%,71%,69%,85%,50%,80%,73%,29%,43%,92%,80%,80%,63%,80%,76%,64%,73%,74%,85%,85%,61%,78%,81%,64%,65%,62%,40%,87%,86%,82%,59%,48%,49%,44%,84%,88%,72%,75%,79%,69%,71%,90%,76%,62%,66%,32%,31%,24%,46%,54%,48%,32%,45%,33%,30%,56%,39%,46%,79%,63%,48%,55%,50%,49%,63%,38%,89%,76%,73%,72%,45%,67%,93%,61%,73%,10%,10%,38%,22%,71%,75%,68%,49%
Cabinet Office,Crown Commercial Service,CCS,92%,58%,76%,79%,71%,84%,48%,76%,70%,35%,44%,91%,79%,73%,58%,77%,82%,77%,78%,73%,85%,86%,72%,76%,79%,67%,65%,61%,42%,86%,86%,80%,57%,44%,49%,41%,79%,85%,68%,72%,79%,60%,69%,89%,64%,62%,68%,38%,36%,30%,47%,55%,47%,54%,48%,24%,31%,55%,36%,46%,57%,46%,47%,46%,46%,54%,64%,42%,87%,74%,80%,75%,47%,70%,90%,69%,68%,13%,13%,40%,23%,66%,72%,64%,50%
Cabinet Office,Civil Service HR,CSHR,83%,58%,79%,67%,72%,86%,52%,80%,73%,41%,47%,93%,83%,81%,61%,78%,69%,62%,70%,78%,86%,84%,60%,79%,83%,69%,69%,64%,42%,89%,87%,81%,60%,52%,54%,43%,84%,87%,76%,73%,82%,69%,75%,89%,72%,60%,67%,43%,42%,37%,50%,57%,50%,51%,48%,36%,37%,58%,36%,44%,55%,55%,39%,46%,44%,58%,65%,38%,89%,74%,64%,77%,48%,74%,95%,72%,78%,11%,13%,27%,27%,70%,75%,65%,51%
Charity Commission,Charity Commission,CC,81%,53%,73%,80%,65%,80%,33%,67%,61%,19%,38%,87%,83%,69%,51%,73%,80%,77%,82%,65%,81%,80%,65%,70%,78%,65%,56%,55%,37%,85%,81%,73%,44%,44%,21%,24%,71%,81%,50%,63%,77%,57%,63%,82%,55%,39%,54%,19%,21%,17%,35%,53%,44%,34%,36%,28%,27%,57%,34%,34%,49%,30%,42%,34%,32%,36%,54%,28%,81%,66%,76%,77%,41%,63%,96%,81%,67%,15%,16%,35%,20%,59%,68%,49%,39%
Communities and Local Government,Department for Communities and Local Government,DCLG,82%,59%,79%,86%,75%,84%,61%,79%,75%,37%,55%,91%,84%,78%,64%,79%,88%,83%,86%,76%,88%,86%,71%,80%,86%,74%,72%,69%,46%,87%,84%,81%,71%,63%,54%,55%,81%,88%,72%,73%,82%,72%,78%,88%,75%,60%,68%,39%,38%,35%,60%,67%,61%,54%,57%,47%,36%,67%,48%,50%,51%,53%,44%,48%,46%,61%,69%,50%,89%,74%,76%,75%,58%,71%,98%,73%,79%,10%,9%,27%,19%,68%,71%,66%,48%
Communities and Local Government,Planning Inspectorate,PINS,77%,57%,77%,84%,70%,72%,53%,75%,70%,32%,40%,90%,87%,81%,52%,76%,88%,80%,85%,69%,84%,82%,66%,79%,80%,66%,64%,69%,38%,80%,72%,64%,65%,59%,39%,49%,80%,87%,65%,68%,88%,72%,80%,88%,59%,47%,57%,32%,36%,28%,39%,46%,45%,42%,39%,25%,26%,57%,36%,43%,55%,38%,48%,43%,38%,46%,58%,39%,92%,57%,66%,77%,37%,58%,91%,67%,75%,8%,7%,28%,17%,67%,71%,65%,47%
"Culture, Media & Sport","Department for Culture, Media & Sport",DCMS,98%,69%,81%,88%,73%,86%,52%,83%,75%,30%,62%,93%,82%,79%,69%,82%,90%,87%,86%,75%,86%,86%,71%,83%,84%,67%,67%,65%,42%,88%,86%,82%,59%,51%,51%,46%,84%,88%,76%,83%,84%,74%,77%,91%,77%,56%,65%,31%,34%,24%,74%,77%,71%,59%,66%,52%,42%,73%,48%,59%,75%,71%,56%,62%,62%,65%,65%,45%,91%,78%,84%,69%,62%,72%,94%,67%,79%,9%,8%,26%,14%,69%,73%,65%,42%
"Culture, Media & Sport",The Royal Parks,TRP,44%,71%,77%,88%,67%,78%,49%,70%,68%,14%,47%,88%,73%,77%,66%,80%,91%,84%,89%,56%,88%,81%,63%,70%,78%,65%,62%,65%,39%,83%,80%,72%,66%,58%,27%,47%,70%,80%,64%,64%,79%,64%,79%,92%,63%,50%,50%,11%,17%,14%,52%,52%,47%,38%,53%,38%,31%,59%,44%,53%,91%,72%,72%,56%,48%,38%,42%,22%,89%,73%,84%,84%,34%,58%,78%,59%,63%,16%,9%,.,.,64%,75%,61%,48%
"Culture, Media & Sport",The National Archives,TNA,54%,68%,79%,82%,69%,78%,46%,81%,74%,26%,52%,91%,80%,80%,61%,82%,86%,78%,81%,70%,83%,85%,67%,75%,79%,64%,60%,67%,39%,80%,81%,73%,57%,44%,43%,42%,85%,85%,71%,82%,83%,69%,75%,90%,70%,60%,68%,25%,32%,21%,61%,60%,53%,54%,50%,36%,35%,65%,56%,51%,80%,62%,61%,61%,54%,36%,49%,22%,91%,75%,83%,73%,50%,57%,95%,66%,78%,8%,7%,24%,38%,59%,64%,59%,42%
Defence,Ministry of Defence,MOD,59%,58%,74%,78%,63%,77%,50%,73%,69%,30%,30%,88%,78%,73%,57%,72%,82%,74%,79%,63%,77%,77%,55%,70%,75%,57%,54%,58%,40%,81%,78%,71%,59%,46%,50%,47%,79%,83%,62%,69%,81%,63%,71%,84%,62%,58%,62%,32%,31%,28%,30%,36%,36%,30%,28%,18%,15%,45%,24%,35%,61%,43%,55%,40%,35%,27%,37%,21%,89%,69%,55%,79%,28%,46%,88%,63%,56%,13%,12%,36%,21%,61%,67%,60%,53%
Defence,Defence Equipment & Support,DES,73%,53%,75%,76%,65%,76%,59%,74%,65%,28%,36%,89%,80%,72%,57%,75%,80%,72%,75%,68%,83%,82%,59%,76%,77%,60%,57%,57%,34%,82%,78%,68%,64%,56%,60%,56%,80%,85%,61%,72%,78%,57%,69%,84%,53%,52%,65%,30%,32%,22%,37%,46%,42%,43%,35%,19%,21%,51%,25%,41%,46%,45%,35%,33%,31%,39%,49%,27%,87%,69%,58%,75%,35%,55%,89%,61%,63%,13%,10%,32%,22%,63%,68%,61%,53%
Defence,Defence Electronics and Components Agency,DECA,83%,48%,65%,63%,49%,72%,21%,56%,63%,15%,29%,84%,70%,64%,42%,64%,64%,60%,66%,48%,65%,67%,42%,53%,61%,41%,39%,46%,23%,82%,81%,53%,27%,23%,16%,17%,61%,73%,40%,48%,74%,49%,64%,78%,61%,49%,65%,13%,18%,13%,30%,29%,27%,35%,26%,25%,21%,41%,23%,37%,41%,29%,37%,24%,21%,33%,29%,25%,84%,56%,51%,80%,23%,33%,76%,45%,46%,14%,13%,21%,9%,54%,61%,54%,52%
Defence,Dstl,DSTL,82%,55%,77%,67%,60%,75%,56%,74%,66%,22%,33%,91%,80%,77%,56%,80%,73%,62%,67%,58%,85%,80%,50%,66%,70%,56%,51%,56%,31%,79%,75%,70%,62%,52%,55%,54%,76%,83%,59%,76%,74%,60%,65%,85%,55%,56%,68%,21%,31%,15%,30%,40%,38%,29%,25%,20%,19%,54%,29%,48%,60%,49%,49%,37%,32%,46%,60%,31%,89%,73%,70%,77%,38%,59%,93%,63%,69%,16%,13%,33%,18%,61%,67%,59%,51%
Defence,UK Hydrographic Office,UKHO,72%,58%,71%,75%,64%,83%,45%,70%,68%,27%,30%,89%,77%,71%,51%,69%,80%,67%,76%,63%,83%,81%,59%,70%,71%,59%,53%,61%,36%,88%,84%,77%,53%,44%,38%,44%,77%,86%,58%,60%,79%,63%,63%,84%,61%,58%,70%,23%,34%,23%,28%,30%,27%,35%,25%,17%,25%,50%,31%,37%,63%,41%,50%,40%,36%,24%,46%,15%,88%,66%,70%,75%,21%,56%,89%,64%,63%,9%,8%,32%,36%,61%,66%,58%,49%
Department for Exiting the European Union,Department for Exiting the European Union,DEEU,85%,64%,74%,79%,67%,88%,40%,81%,59%,28%,60%,91%,80%,74%,54%,73%,91%,71%,75%,80%,79%,88%,75%,82%,84%,56%,53%,50%,26%,90%,89%,85%,37%,37%,53%,31%,89%,91%,74%,73%,71%,52%,38%,83%,66%,51%,52%,32%,29%,24%,62%,71%,68%,50%,65%,58%,49%,62%,49%,61%,65%,59%,43%,61%,58%,74%,75%,19%,84%,79%,81%,61%,75%,82%,98%,67%,85%,7%,7%,31%,25%,68%,77%,65%,38%
Department for International Trade,Department for International Trade,DIT,83%,56%,73%,76%,67%,78%,45%,74%,65%,21%,31%,95%,85%,81%,63%,77%,88%,85%,87%,73%,83%,83%,69%,73%,82%,68%,68%,65%,43%,83%,83%,77%,61%,60%,57%,60%,80%,87%,72%,74%,82%,74%,82%,90%,75%,53%,62%,39%,39%,33%,58%,66%,58%,49%,52%,38%,29%,64%,44%,44%,83%,68%,69%,64%,61%,57%,68%,50%,86%,68%,87%,83%,57%,67%,94%,76%,76%,13%,10%,32%,20%,69%,77%,67%,45%
Department for International Development,Department for International Development,DFID,88%,71%,80%,86%,71%,81%,60%,78%,74%,37%,50%,90%,79%,75%,49%,72%,79%,71%,79%,68%,78%,81%,63%,69%,79%,64%,63%,61%,41%,81%,79%,73%,53%,51%,35%,40%,76%,83%,65%,71%,76%,54%,68%,86%,53%,54%,63%,23%,25%,16%,29%,40%,36%,32%,30%,22%,21%,43%,22%,31%,56%,39%,41%,38%,36%,35%,53%,31%,87%,67%,77%,76%,34%,61%,80%,57%,59%,13%,12%,31%,21%,67%,72%,64%,46%
Department for Education,Department for Education,DFE,93%,62%,78%,82%,72%,84%,56%,80%,72%,45%,48%,90%,83%,77%,64%,78%,85%,78%,82%,74%,86%,85%,66%,80%,83%,69%,68%,65%,45%,87%,86%,81%,62%,55%,60%,48%,83%,88%,72%,77%,81%,69%,75%,86%,72%,57%,64%,47%,46%,41%,54%,58%,52%,38%,49%,39%,34%,65%,42%,46%,63%,58%,46%,50%,48%,51%,66%,39%,87%,72%,74%,74%,49%,70%,95%,69%,76%,11%,8%,33%,23%,66%,71%,62%,46%
Department for Education,Skills Funding Agency,SFA,89%,56%,78%,86%,73%,85%,53%,79%,74%,39%,40%,91%,82%,78%,61%,80%,87%,84%,88%,76%,84%,87%,72%,78%,84%,69%,69%,69%,41%,88%,85%,83%,65%,57%,40%,52%,78%,91%,70%,78%,83%,69%,75%,86%,78%,60%,66%,46%,30%,42%,44%,57%,51%,41%,43%,22%,15%,60%,30%,37%,52%,38%,50%,47%,43%,44%,62%,32%,92%,78%,77%,81%,48%,73%,95%,75%,73%,10%,7%,33%,26%,67%,72%,67%,51%
"Environment, Food & Rural Affairs","Department for Environment, Food & Rural Affairs",DEFRA,89%,56%,77%,79%,70%,82%,48%,78%,71%,26%,42%,89%,82%,74%,59%,82%,80%,77%,81%,72%,87%,87%,64%,78%,83%,66%,64%,56%,40%,86%,83%,78%,60%,50%,40%,43%,81%,86%,69%,76%,80%,68%,75%,86%,69%,52%,64%,28%,28%,22%,43%,65%,50%,37%,42%,26%,20%,59%,34%,43%,50%,42%,44%,38%,36%,50%,67%,43%,88%,73%,75%,73%,46%,67%,96%,73%,73%,10%,8%,26%,21%,64%,70%,60%,48%
"Environment, Food & Rural Affairs",Animal and Plant Health Agency,APHA,61%,50%,69%,71%,60%,77%,41%,68%,66%,29%,26%,88%,77%,69%,45%,66%,73%,67%,72%,59%,79%,75%,56%,62%,69%,59%,52%,53%,35%,82%,79%,69%,56%,44%,32%,33%,71%,81%,54%,67%,79%,59%,64%,85%,64%,52%,62%,28%,35%,24%,26%,35%,33%,25%,25%,17%,14%,37%,20%,29%,43%,28%,39%,31%,28%,27%,41%,22%,85%,61%,59%,76%,29%,52%,96%,74%,60%,15%,15%,32%,18%,57%,64%,58%,47%
"Environment, Food & Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science",CEFAS,92%,63%,80%,79%,65%,80%,52%,73%,74%,22%,51%,91%,84%,81%,64%,82%,80%,76%,80%,63%,80%,78%,61%,68%,73%,63%,59%,63%,41%,81%,82%,77%,60%,48%,48%,52%,73%,82%,61%,75%,81%,76%,73%,92%,80%,56%,62%,22%,30%,15%,54%,57%,51%,61%,50%,41%,35%,63%,49%,48%,69%,57%,54%,50%,48%,46%,52%,31%,91%,73%,72%,80%,49%,58%,95%,71%,75%,11%,10%,31%,13%,60%,69%,63%,50%
"Environment, Food & Rural Affairs",Rural Payments Agency,RPA,62%,42%,61%,79%,66%,76%,32%,66%,63%,23%,30%,78%,73%,59%,39%,56%,82%,77%,77%,64%,83%,77%,61%,71%,77%,67%,58%,58%,41%,84%,80%,65%,44%,34%,25%,27%,73%,84%,50%,57%,79%,50%,62%,80%,56%,51%,64%,23%,24%,21%,27%,43%,33%,34%,28%,21%,19%,44%,24%,27%,21%,19%,27%,21%,22%,28%,41%,23%,80%,53%,51%,77%,30%,62%,98%,81%,64%,14%,12%,25%,17%,60%,64%,58%,47%
