Department_group,Organisation,Organisation_Code,Response rate,Employee engagement index,My work,Organisational objectives and purpose1,My manager,My team,Learning and development,Inclusion and fair treatment,Resources and workload1,Pay and benefits,Leadership and managing change1,B01. I am interested in my work,B02. I am sufficiently challenged by my work,B03. My work gives me a sense of personal accomplishment,B04. I feel involved in the decisions that affect my work,B05. I have a choice in deciding how I do my work,B06. I have a clear understanding of [my organisation's] objectives,B07. I understand how my work contributes to [my organisation's] objectives,B08. My manager motivates me to be more effective in my job,B09. My manager is considerate of my life outside work,B10. My manager is open to my ideas,B11. My manager helps me to understand how I contribute to [my organisation's] objectives,"B12. Overall, I have confidence in the decisions made by my manager",B13. My manager recognises when I have done my job well,B14. I receive regular feedback on my performance,B15. The feedback I receive helps me to improve my performance,B16. I think that my performance is evaluated fairly,B17. Poor performance is dealt with effectively in my team,B18. The people in my team can be relied upon to help when things get difficult in my job,B19. The people in my team work together to find ways to improve the service we provide,B20. The people in my team are encouraged to come up with new and better ways of doing things,B21. I am able to access the right learning and development opportunities when I need to,B22. Learning and development activities I have completed in the past 12 months have helped to improve my performance,B23. There are opportunities for me to develop my career in [my organisation],B24. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career,B25. I am treated fairly at work,B26. I am treated with respect by the people I work with,B27. I feel valued for the work I do,"B28. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)",B29. I get the information I need to do my job well,B30. I have clear work objectives,B31. I have the skills I need to do my job effectively,B32. I have the tools I need to do my job effectively,B33. I have an acceptable workload,B34. I achieve a good balance between my work life and my private life,B35. I feel that my pay adequately reflects my performance,B36. I am satisfied with the total benefits package,B37. Compared to people doing a similar job in other organisations I feel my pay is reasonable,B38. [Senior managers] in [my organisation] are sufficiently visible,B39. I believe the actions of [senior managers] are consistent with [my organisation's] values,B40. I believe that [the board has] a clear vision for the future of [my organisation],"B41. Overall, I have confidence in the decisions made by [my organisation's senior managers]",B42. I feel that change is managed well in [my organisation],B43. When changes are made in [my organisation] they are usually for the better,B44. [My organisation] keeps me informed about matters that affect me,B45. I have the opportunity to contribute my views before decisions are made that affect me,B46. I think it is safe to challenge the way things are done in [my organisation],B47. I am proud when I tell others I am part of [my organisation],B48. I would recommend [my organisation] as a great place to work,B49. I feel a strong personal attachment to [my organisation],B50. [My organisation] inspires me to do the best in my job,B51. [My organisation] motivates me to help it achieve its objectives,B52. I believe that [senior managers] in [my organisation] will take action on the results from this survey,"B53. Where I work, I think effective action has been taken on the results of the last survey",B54. I am trusted to carry out my job effectively,"B55. I believe I would be supported if I try a new idea, even if it may not work","B56. In [my organisation], people are encouraged to speak up when they identify a serious policy or delivery risk",B57. I feel able to challenge inappropriate behaviour in the workplace,B58. My organisation is committed to creating a diverse and inclusive workplace,B59. [Senior managers] in [my organisation] actively role model the behaviours set out in the Civil Service Leadership Statement,B60. My manager actively role models the behaviours set out in the Civil Service Leadership Statement,B61. I am aware of the Civil Service vision for 'A Brilliant Civil Service',B62. I understand how my work contributes to helping us become 'A Brilliant Civil Service',D01. Are you aware of the Civil Service Code?,D02. Are you aware of how to raise a concern under the Civil Service Code?,D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?,E01. During the past 12 months have you personally experienced discrimination at work?,E03. During the past 12 months have you personally experienced bullying or harassment at work?,E05. Did you report the bullying and harassment you experienced?,"E06. In your opinion, has this issue been resolved?","W01. Overall, how satisfied are you with your life nowadays? (0=Not at all satisfied, 10=Completely satisfied)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (0=Not at all worthwhile, 10=Completely worthwhile)","W03. Overall, how happy did you feel yesterday? (0=Not at all happy, 10=Completely happy)","W04. Overall, how anxious did you feel yesterday? (0=Not at all anxious, 10= Completely anxious)"
"Business, Energy & Industrial Strategy",Land Registry,LR,72%,60%,67%,79%,65%,81%,47%,75%,74%,33%,41%,82%,78%,69%,44%,59%,76%,82%,63%,81%,76%,66%,69%,73%,67%,57%,63%,34%,87%,83%,73%,57%,49%,45%,37%,79%,86%,59%,76%,70%,77%,83%,74%,67%,75%,30%,38%,31%,51%,46%,52%,38%,31%,28%,55%,29%,40%,56%,55%,53%,43%,40%,43%,35%,87%,61%,64%,54%,74%,41%,63%,28%,26%,90%,62%,71%,9%,8%,27%,21%,64%,67%,61%,49%
"Business, Energy & Industrial Strategy",Met Office,MET,74%,61%,79%,82%,68%,82%,54%,74%,69%,19%,40%,93%,85%,81%,59%,77%,80%,83%,67%,86%,83%,64%,74%,77%,67%,59%,66%,38%,86%,84%,78%,62%,54%,46%,53%,76%,86%,57%,77%,68%,76%,88%,65%,57%,62%,19%,23%,13%,49%,47%,48%,38%,19%,26%,51%,31%,53%,71%,51%,57%,48%,42%,42%,31%,91%,76%,65%,70%,77%,46%,66%,32%,25%,93%,66%,76%,14%,10%,35%,21%,62%,67%,57%,45%
"Business, Energy & Industrial Strategy",The Insolvency Service,INSS,89%,61%,79%,88%,77%,85%,55%,82%,77%,34%,51%,89%,82%,79%,66%,79%,86%,90%,76%,88%,85%,78%,81%,84%,80%,74%,76%,51%,89%,85%,81%,71%,58%,46%,45%,85%,89%,73%,82%,75%,84%,90%,65%,67%,78%,32%,39%,32%,67%,57%,54%,49%,38%,36%,63%,45%,52%,56%,53%,53%,52%,52%,59%,59%,91%,76%,70%,70%,80%,52%,74%,60%,55%,92%,77%,76%,9%,9%,47%,22%,66%,70%,63%,53%
Cabinet Office,Cabinet Office,CO,89%,65%,79%,73%,70%,85%,55%,79%,72%,28%,44%,92%,82%,79%,63%,80%,72%,74%,74%,85%,84%,60%,78%,81%,65%,66%,65%,42%,87%,86%,82%,64%,53%,52%,49%,84%,85%,72%,76%,70%,73%,90%,75%,61%,66%,30%,32%,23%,60%,51%,35%,47%,33%,32%,55%,39%,46%,77%,65%,47%,54%,50%,52%,39%,89%,78%,68%,68%,76%,49%,70%,70%,54%,94%,62%,71%,11%,12%,34%,21%,69%,73%,64%,48%
Cabinet Office,Crown Commercial Service,CCS,95%,63%,79%,88%,71%,85%,55%,79%,72%,37%,50%,92%,81%,78%,63%,79%,89%,87%,74%,87%,85%,75%,77%,80%,70%,63%,60%,44%,85%,85%,83%,68%,55%,49%,50%,81%,86%,70%,79%,66%,69%,89%,68%,67%,76%,38%,41%,31%,65%,51%,59%,52%,29%,38%,65%,40%,48%,61%,54%,47%,51%,52%,55%,45%,89%,76%,69%,66%,79%,51%,73%,73%,58%,91%,71%,70%,13%,11%,31%,30%,69%,73%,69%,52%
Cabinet Office,Civil Service HR,CSHR,83%,59%,77%,71%,69%,82%,53%,77%,70%,37%,49%,91%,81%,77%,59%,76%,68%,73%,73%,85%,82%,60%,73%,78%,69%,66%,63%,41%,84%,83%,79%,59%,52%,53%,45%,78%,85%,69%,74%,67%,72%,88%,69%,58%,64%,38%,40%,33%,64%,54%,55%,52%,35%,40%,56%,38%,46%,58%,56%,41%,47%,44%,58%,46%,89%,70%,67%,63%,74%,55%,72%,84%,73%,96%,72%,75%,16%,14%,28%,23%,67%,72%,66%,44%
Charity Commission,Charity Commission,CC,90%,54%,80%,84%,71%,89%,38%,69%,61%,17%,39%,90%,89%,76%,65%,78%,81%,86%,75%,87%,84%,70%,75%,85%,67%,61%,66%,40%,92%,90%,83%,48%,51%,25%,30%,72%,83%,62%,60%,62%,70%,81%,51%,41%,57%,17%,18%,15%,55%,48%,27%,41%,23%,24%,54%,42%,39%,50%,34%,48%,38%,37%,40%,27%,85%,71%,54%,51%,57%,42%,72%,45%,28%,97%,80%,66%,9%,13%,41%,15%,63%,72%,61%,43%
Communities and Local Government,Department for Communities and Local Government,DCLG,90%,64%,81%,85%,75%,87%,63%,82%,72%,37%,59%,91%,83%,81%,68%,80%,85%,86%,78%,86%,87%,71%,82%,85%,73%,71%,71%,43%,90%,87%,83%,72%,64%,62%,55%,83%,89%,75%,80%,73%,76%,88%,68%,59%,67%,37%,40%,32%,76%,66%,56%,63%,48%,40%,69%,51%,57%,61%,63%,47%,54%,53%,68%,51%,89%,75%,72%,72%,81%,65%,74%,76%,56%,97%,73%,79%,10%,8%,35%,24%,67%,72%,62%,48%
Communities and Local Government,Planning Inspectorate,PINS,60%,59%,81%,85%,71%,80%,51%,77%,70%,29%,50%,92%,89%,82%,57%,83%,84%,87%,68%,87%,83%,68%,80%,80%,68%,68%,73%,37%,85%,78%,76%,66%,55%,36%,49%,81%,88%,64%,75%,73%,81%,90%,60%,54%,61%,30%,35%,23%,65%,58%,54%,49%,31%,28%,65%,50%,52%,58%,44%,51%,47%,42%,54%,38%,94%,67%,64%,65%,71%,49%,67%,40%,29%,93%,74%,79%,8%,5%,33%,6%,63%,72%,61%,49%
"Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",DCMS,98%,69%,82%,80%,72%,83%,57%,84%,73%,30%,59%,93%,86%,79%,70%,83%,80%,80%,78%,87%,90%,68%,84%,83%,64%,65%,65%,40%,84%,84%,81%,63%,54%,58%,51%,86%,90%,76%,85%,73%,73%,88%,76%,58%,68%,31%,34%,24%,74%,66%,53%,65%,44%,45%,73%,52%,60%,75%,73%,53%,61%,60%,68%,40%,90%,78%,76%,72%,85%,65%,77%,59%,43%,95%,66%,83%,8%,5%,35%,28%,68%,71%,63%,42%
"Digital, Culture, Media & Sport",The National Archives,TNA,61%,66%,76%,80%,72%,80%,45%,78%,73%,21%,48%,89%,78%,75%,59%,80%,78%,82%,71%,85%,86%,69%,79%,82%,72%,67%,70%,41%,83%,82%,74%,53%,43%,39%,43%,79%,86%,70%,78%,72%,75%,89%,70%,64%,70%,17%,30%,16%,59%,55%,55%,48%,33%,36%,59%,42%,48%,76%,61%,63%,54%,49%,35%,24%,89%,75%,62%,61%,75%,47%,65%,36%,28%,92%,68%,73%,7%,7%,35%,23%,55%,63%,57%,44%
Defence,Ministry of Defence,MOD,60%,58%,74%,76%,64%,77%,50%,73%,67%,28%,31%,88%,78%,72%,57%,74%,73%,78%,64%,79%,78%,57%,70%,75%,57%,55%,60%,41%,81%,79%,72%,58%,45%,49%,46%,79%,83%,62%,69%,63%,71%,85%,60%,59%,65%,30%,30%,25%,45%,41%,28%,29%,17%,14%,42%,25%,35%,61%,43%,55%,40%,35%,29%,23%,88%,69%,61%,71%,72%,32%,52%,30%,23%,88%,65%,57%,14%,12%,41%,21%,61%,66%,59%,53%
Defence,Defence Equipment & Support,DES,85%,51%,74%,71%,64%,75%,52%,73%,61%,30%,37%,88%,79%,71%,56%,74%,71%,71%,67%,83%,82%,58%,74%,77%,57%,56%,53%,33%,81%,77%,68%,55%,51%,52%,51%,77%,85%,59%,71%,55%,62%,82%,51%,52%,65%,32%,34%,24%,56%,45%,38%,36%,18%,22%,53%,24%,40%,45%,41%,32%,32%,31%,41%,32%,88%,69%,64%,69%,72%,39%,61%,28%,23%,85%,58%,60%,14%,12%,33%,23%,61%,65%,58%,51%
Defence,Defence Electronics and Components Agency,DECA,93%,34%,53%,46%,38%,57%,19%,42%,47%,10%,18%,66%,55%,54%,36%,51%,43%,50%,36%,55%,51%,36%,39%,47%,31%,30%,34%,23%,63%,61%,46%,22%,18%,18%,18%,46%,58%,30%,34%,39%,48%,63%,48%,35%,49%,9%,12%,7%,20%,19%,20%,17%,12%,13%,26%,17%,20%,29%,18%,31%,17%,16%,18%,10%,66%,43%,40%,37%,32%,15%,26%,28%,18%,68%,38%,29%,37%,21%,16%,9%,44%,49%,45%,43%
Defence,Dstl,DSTL,80%,56%,77%,67%,62%,76%,54%,75%,66%,23%,33%,90%,81%,77%,57%,82%,66%,68%,59%,87%,81%,52%,67%,73%,57%,53%,60%,30%,80%,75%,72%,57%,52%,54%,54%,78%,84%,61%,78%,62%,66%,85%,55%,57%,71%,22%,32%,15%,40%,37%,25%,26%,19%,16%,54%,30%,51%,59%,50%,47%,39%,33%,44%,30%,90%,74%,74%,70%,79%,36%,62%,42%,26%,92%,63%,70%,15%,13%,44%,19%,60%,65%,57%,49%
Defence,UK Hydrographic Office,UKHO,73%,61%,73%,75%,65%,84%,45%,71%,70%,30%,35%,88%,77%,74%,53%,74%,72%,79%,62%,84%,80%,62%,70%,74%,60%,55%,63%,37%,85%,86%,79%,55%,44%,37%,45%,76%,84%,58%,65%,66%,70%,85%,64%,66%,72%,27%,41%,23%,39%,34%,36%,29%,22%,30%,47%,36%,44%,67%,52%,54%,45%,41%,33%,23%,90%,72%,66%,61%,62%,25%,61%,28%,20%,87%,62%,68%,10%,9%,48%,23%,61%,65%,58%,48%
Department for Exiting the European Union,Department for Exiting the European Union,DEXEU,94%,63%,73%,81%,69%,87%,54%,79%,61%,27%,58%,89%,77%,73%,54%,71%,81%,82%,74%,84%,86%,67%,80%,80%,61%,62%,65%,35%,91%,89%,82%,58%,48%,63%,46%,86%,87%,69%,74%,59%,53%,83%,71%,48%,54%,30%,28%,24%,82%,74%,54%,70%,47%,40%,61%,36%,61%,65%,55%,44%,60%,57%,64%,34%,87%,78%,78%,72%,69%,69%,74%,68%,47%,94%,56%,78%,8%,8%,29%,14%,65%,70%,60%,39%
Department for International Trade,Department for International Trade,DIT,87%,63%,77%,84%,70%,81%,51%,79%,66%,27%,48%,92%,81%,78%,57%,77%,83%,85%,72%,83%,83%,70%,74%,82%,65%,65%,64%,42%,84%,81%,77%,58%,51%,48%,46%,80%,87%,70%,77%,60%,73%,87%,54%,56%,64%,28%,31%,21%,64%,54%,58%,49%,33%,33%,59%,38%,46%,69%,57%,49%,51%,50%,52%,36%,87%,73%,63%,64%,76%,53%,68%,43%,37%,83%,56%,65%,12%,11%,31%,18%,69%,75%,67%,48%
Department for International Development,Department for International Development,DFID,85%,71%,80%,87%,72%,80%,63%,78%,72%,37%,49%,94%,84%,81%,64%,77%,87%,87%,75%,84%,83%,70%,75%,81%,71%,68%,67%,43%,82%,81%,77%,66%,63%,62%,62%,82%,86%,72%,72%,74%,81%,91%,72%,54%,62%,38%,39%,33%,70%,61%,43%,52%,36%,29%,63%,44%,45%,82%,71%,68%,65%,62%,60%,52%,87%,69%,73%,65%,76%,60%,72%,57%,44%,96%,74%,77%,14%,11%,31%,20%,69%,76%,64%,42%
Department for Education,Department for Education,DFE,88%,63%,78%,81%,74%,84%,56%,81%,72%,44%,48%,89%,82%,76%,63%,81%,79%,83%,75%,87%,86%,67%,80%,82%,78%,69%,68%,44%,87%,85%,81%,61%,54%,61%,48%,83%,88%,72%,79%,70%,76%,87%,73%,59%,67%,46%,46%,41%,62%,57%,40%,51%,36%,33%,64%,41%,49%,66%,62%,46%,51%,48%,52%,38%,88%,73%,70%,66%,76%,51%,73%,55%,40%,96%,70%,77%,10%,9%,35%,23%,67%,71%,63%,46%
"Environment, Food & Rural Affairs","Department for Environment, Food & Rural Affairs",DEFRA,85%,61%,79%,81%,71%,84%,57%,82%,69%,30%,48%,91%,84%,76%,62%,83%,80%,82%,72%,87%,87%,65%,80%,83%,66%,65%,65%,39%,87%,84%,81%,68%,57%,55%,50%,85%,89%,72%,81%,70%,74%,85%,67%,54%,65%,31%,35%,26%,66%,59%,38%,51%,32%,28%,65%,42%,54%,61%,57%,48%,48%,46%,55%,36%,90%,77%,70%,69%,80%,55%,70%,62%,43%,95%,71%,76%,9%,9%,39%,24%,67%,73%,61%,45%
"Environment, Food & Rural Affairs",Animal and Plant Health Agency,APHA,65%,51%,70%,73%,64%,75%,45%,71%,64%,24%,31%,88%,77%,69%,48%,66%,71%,76%,63%,80%,78%,60%,66%,76%,66%,56%,59%,36%,80%,77%,68%,60%,45%,38%,36%,74%,81%,58%,69%,59%,69%,86%,65%,48%,60%,21%,30%,22%,41%,41%,29%,31%,20%,17%,41%,25%,33%,43%,33%,40%,32%,30%,30%,22%,87%,63%,62%,58%,67%,34%,59%,47%,32%,95%,72%,61%,14%,13%,40%,14%,56%,64%,56%,47%
"Environment, Food & Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science",CEFAS,95%,65%,81%,79%,67%,81%,57%,78%,72%,24%,47%,93%,83%,81%,66%,83%,78%,81%,64%,84%,84%,63%,70%,76%,64%,60%,63%,41%,82%,83%,79%,67%,52%,54%,56%,80%,86%,67%,80%,72%,74%,89%,78%,55%,64%,22%,34%,15%,44%,46%,54%,45%,34%,35%,62%,48%,52%,73%,62%,58%,50%,47%,43%,25%,92%,77%,71%,70%,78%,44%,61%,37%,33%,92%,67%,76%,9%,8%,37%,13%,62%,70%,62%,47%
"Environment, Food & Rural Affairs",Rural Payments Agency,RPA,68%,44%,62%,79%,65%,76%,35%,67%,63%,21%,36%,80%,75%,60%,40%,56%,78%,80%,63%,81%,76%,64%,70%,76%,67%,56%,59%,39%,83%,79%,66%,48%,34%,30%,26%,72%,82%,53%,62%,49%,67%,79%,56%,60%,68%,20%,24%,19%,48%,40%,41%,35%,25%,22%,47%,28%,33%,23%,24%,29%,25%,26%,35%,30%,79%,54%,56%,55%,62%,37%,62%,52%,35%,94%,76%,63%,15%,12%,33%,18%,60%,63%,59%,46%
"Environment, Food & Rural Affairs",Veterinary Medicines Directorate,VMD,80%,66%,82%,95%,71%,91%,62%,84%,83%,25%,54%,92%,83%,82%,69%,85%,94%,97%,69%,86%,87%,74%,73%,80%,66%,63%,65%,49%,95%,94%,83%,81%,74%,38%,53%,87%,88%,74%,86%,82%,88%,93%,83%,68%,82%,25%,36%,16%,50%,56%,63%,60%,45%,42%,65%,50%,58%,64%,63%,48%,55%,56%,48%,26%,93%,76%,75%,63%,76%,53%,63%,52%,41%,88%,60%,74%,8%,8%,50%,40%,70%,76%,67%,50%
Estyn,Estyn,ESTYN,80%,78%,85%,96%,84%,93%,69%,91%,89%,55%,82%,94%,89%,86%,72%,83%,95%,97%,82%,93%,90%,89%,83%,90%,83%,84%,89%,58%,96%,95%,89%,82%,73%,51%,70%,92%,96%,84%,91%,88%,97%,99%,97%,73%,78%,53%,59%,54%,88%,86%,77%,81%,80%,78%,89%,73%,82%,84%,84%,78%,80%,78%,81%,68%,96%,91%,91%,79%,91%,86%,88%,57%,54%,96%,78%,89%,9%,5%,n<10,n<10,85%,86%,80%,59%
