Departmental grouping,Organisation,Acronym,Response rate,Employee engagement index,My work theme score (B01-B05),Organisational objectives and purpose theme score (B06-B08),My manager theme score (B09-B18),My team theme score (B19-B21),Learning and development theme score (B22-B25),Inclusion and fair treatment theme score (B26-B29),Resources and workload theme score (B30-B36),Pay and benefits theme score (B37-B39),Leadership and managing change theme score (B40-B49),B01. I am interested in my work (% strongly agree or agree),B02. I am sufficiently challenged by my work (% strongly agree or agree),B03. My work gives me a sense of personal accomplishment (% strongly agree or agree),B04. I feel involved in the decisions that affect my work (% strongly agree or agree),B05. I have a choice in deciding how I do my work (% strongly agree or agree),B06. I have a clear understanding of [my organisation's] purpose (% strongly agree or agree),B07. I have a clear understanding of [my organisation's] objectives (% strongly agree or agree),B08. I understand how my work contributes to [my organisation's] objectives (% strongly agree or agree),B09. My manager motivates me to be more effective in my job (% strongly agree or agree),B10. My manager is considerate of my life outside work (% strongly agree or agree),B11. My manager is open to my ideas (% strongly agree or agree),B12. My manager helps me to understand how I contribute to [my organisation's] objectives (% strongly agree or agree),"B13. Overall, I have confidence in the decisions made by my manager (% strongly agree or agree)",B14. My manager recognises when I have done my job well (% strongly agree or agree),B15. I receive regular feedback on my performance (% strongly agree or agree),B16. The feedback I receive helps me to improve my performance (% strongly agree or agree),B17. I think that my performance is evaluated fairly (% strongly agree or agree),B18. Poor performance is dealt with effectively in my team (% strongly agree or agree),B19. The people in my team can be relied upon to help when things get difficult in my job (% strongly agree or agree),B20. The people in my team work together to find ways to improve the service we provide (% strongly agree or agree),B21. The people in my team are encouraged to come up with new and better ways of doing things (% strongly agree or agree),B22. I am able to access the right learning and development opportunities when I need to (% strongly agree or agree),B23. Learning and development activities I have completed in the past 12 months have helped to improve my performance (% strongly agree or agree),B24. There are opportunities for me to develop my career in [my organisation] (% strongly agree or agree),B25. Learning and development activities I have completed while working for [my organisation] are helping me to develop my career (% strongly agree or agree),B26. I am treated fairly at work (% strongly agree or agree),B27. I am treated with respect by the people I work with (% strongly agree or agree),B28. I feel valued for the work I do (% strongly agree or agree),"B29. I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc) (% strongly agree or agree)","B30. In my job, I am clear what is expected of me (% strongly agree or agree)",B31. I get the information I need to do my job well (% strongly agree or agree),B32. I have clear work objectives (% strongly agree or agree),B33. I have the skills I need to do my job effectively (% strongly agree or agree),B34. I have the tools I need to do my job effectively (% strongly agree or agree),B35. I have an acceptable workload (% strongly agree or agree),B36. I achieve a good balance between my work life and my private life (% strongly agree or agree),B37. I feel that my pay adequately reflects my performance (% strongly agree or agree),B38. I am satisfied with the total benefits package (% strongly agree or agree),B39. Compared to people doing a similar job in other organisations I feel my pay is reasonable (% strongly agree or agree),B40. I feel that [my organisation] as a whole is managed well (% strongly agree or agree),B41. [Senior managers] in [my organisation] are sufficiently visible (% strongly agree or agree),B42. I believe the actions of [senior managers] are consistent with [my organisation's] values (% strongly agree or agree),B43. I believe that [the board has] a clear vision for the future of [my organisation] (% strongly agree or agree),"B44. Overall, I have confidence in the decisions made by [my organisation's senior managers] (% strongly agree or agree)",B45. I feel that change is managed well in [my organisation] (% strongly agree or agree),B46. When changes are made in [my organisation] they are usually for the better (% strongly agree or agree),B47. [My organisation] keeps me informed about matters that affect me (% strongly agree or agree),B48. I have the opportunity to contribute my views before decisions are made that affect me (% strongly agree or agree),B49. I think it is safe to challenge the way things are done in [my organisation] (% strongly agree or agree),B50. I am proud when I tell others I am part of [my organisation] (% strongly agree or agree),B51. I would recommend [my organisation] as a great place to work (% strongly agree or agree),B52. I feel a strong personal attachment to [my organisation] (% strongly agree or agree),B53. [My organisation] inspires me to do the best in my job (% strongly agree or agree),B54. [My organisation] motivates me to help it achieve its objectives (% strongly agree or agree),B55. I believe that [senior managers] in [my organisation] will take action on the results from this survey (% strongly agree or agree),B56. I believe that managers where I work will take action on the results from this survey (% strongly agree or agree),"B57. Where I work, I think effective action has been taken on the results of the last survey (% strongly agree or agree)",B58. I am trusted to carry out my job effectively (% strongly agree or agree),"B59. I believe I would be supported if I tried a new idea, even if it may not work (% strongly agree or agree)","B60. My performance is evaluated based on whether I get things done, rather than solely follow process (% strongly agree or agree)","B61. When I talk about my organisation I say ""we"" rather than ""they"" (% strongly agree or agree)",B62. I have some really good friendships at work (% strongly agree or agree),D01. Are you aware of the Civil Service Code? (% yes),D02. Are you aware of how to raise a concern under the Civil Service Code? (% yes),D03. Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly? (% yes),"E01. During the past 12 months, have you personally experienced discrimination at work? (% yes)","E03. During the past 12 months, have you personally experienced bullying or harassment at work? (% yes)","W01. Overall, how satisfied are you with your life nowadays? (% rating 7-10)","W02. Overall, to what extent do you feel the things you do in your life are worthwhile? (% rating 7-10)","W03. Overall, how happy did you feel yesterday? (% rating 7-10)","W04. Overall, how anxious did you feel yesterday? (% rating 0-3)"
"Business, Innovation and Skills",Intellectual Property Office,IPO,83%,60%,78%,85%,70%,81%,60%,77%,79%,27%,47%,89%,85%,79%,60%,76%,88%,81%,86%,68%,85%,80%,66%,76%,79%,67%,66%,68%,46%,88%,82%,73%,69%,61%,56%,53%,82%,88%,64%,76%,86%,77%,80%,90%,79%,65%,75%,24%,36%,22%,52%,55%,43%,40%,43%,38%,34%,66%,49%,48%,61%,60%,50%,47%,46%,53%,58%,39%,88%,70%,68%,66%,79%,90%,63%,75%,10%,9%,63%,66%,57%,49%
"Business, Innovation and Skills",Land Registry,LR,64%,48%,63%,65%,52%,76%,33%,65%,67%,32%,22%,80%,78%,65%,38%,56%,69%,58%,69%,49%,70%,67%,52%,55%,63%,48%,42%,49%,25%,81%,79%,68%,50%,40%,19%,23%,71%,81%,46%,64%,79%,62%,66%,77%,71%,50%,65%,29%,34%,32%,23%,26%,22%,27%,14%,19%,16%,35%,18%,25%,35%,23%,42%,27%,23%,23%,36%,25%,82%,54%,53%,58%,80%,89%,62%,63%,11%,12%,55%,61%,52%,46%
"Business, Innovation and Skills",Met Office,MET,82%,67%,83%,89%,70%,82%,59%,79%,76%,18%,56%,95%,88%,86%,65%,80%,92%,87%,87%,70%,83%,84%,68%,77%,79%,67%,63%,69%,40%,85%,84%,77%,66%,58%,56%,58%,83%,89%,65%,81%,86%,74%,79%,88%,74%,62%,67%,18%,23%,13%,69%,54%,62%,71%,64%,37%,40%,64%,45%,59%,80%,65%,65%,61%,54%,55%,58%,31%,92%,77%,72%,77%,74%,80%,54%,75%,7%,7%,67%,76%,63%,50%
"Business, Innovation and Skills",National Measurement Office,NMO,84%,65%,82%,84%,64%,68%,52%,77%,80%,33%,54%,95%,82%,74%,70%,89%,80%,85%,85%,57%,79%,72%,61%,74%,72%,64%,65%,61%,36%,74%,70%,59%,67%,52%,43%,46%,77%,89%,66%,77%,92%,79%,89%,89%,79%,62%,74%,38%,36%,26%,70%,72%,61%,48%,62%,44%,34%,53%,39%,52%,56%,66%,54%,56%,51%,51%,54%,36%,95%,69%,59%,75%,74%,98%,77%,79%,3%,3%,63%,67%,67%,58%
"Business, Innovation and Skills",Office of Fair Trading,OFT,67%,61%,76%,88%,70%,78%,50%,76%,77%,23%,48%,91%,76%,75%,61%,75%,92%,87%,85%,70%,85%,82%,65%,74%,82%,66%,66%,67%,44%,84%,80%,71%,60%,55%,35%,49%,79%,82%,68%,75%,82%,76%,75%,92%,73%,67%,73%,24%,25%,21%,51%,61%,53%,41%,47%,41%,28%,62%,44%,49%,68%,54%,52%,50%,49%,50%,64%,51%,86%,67%,70%,76%,76%,88%,65%,71%,7%,13%,65%,68%,61%,47%
"Business, Innovation and Skills",Ordnance Survey,OS,83%,68%,81%,78%,67%,86%,53%,80%,76%,32%,48%,94%,87%,84%,61%,82%,79%,72%,83%,65%,83%,82%,67%,73%,76%,63%,59%,64%,39%,91%,87%,81%,65%,52%,47%,48%,84%,90%,64%,81%,86%,69%,82%,88%,71%,66%,73%,30%,42%,25%,53%,51%,49%,46%,46%,35%,40%,63%,42%,52%,81%,62%,69%,58%,49%,41%,63%,37%,92%,75%,71%,76%,78%,93%,68%,79%,6%,6%,63%,70%,62%,53%
"Business, Innovation and Skills",Skills Funding Agency,SFA,82%,61%,76%,88%,71%,83%,51%,79%,77%,58%,41%,92%,81%,78%,54%,77%,90%,86%,86%,73%,84%,84%,72%,77%,82%,71%,67%,66%,39%,88%,85%,76%,71%,60%,28%,44%,81%,88%,68%,78%,86%,70%,81%,92%,72%,66%,70%,52%,65%,57%,51%,54%,49%,48%,44%,28%,19%,57%,27%,36%,57%,49%,51%,48%,48%,43%,56%,37%,89%,73%,71%,78%,81%,92%,65%,74%,6%,6%,66%,73%,63%,50%
"Business, Innovation and Skills",UK Trade and Investment,UKTI,65%,55%,70%,81%,61%,71%,42%,69%,59%,26%,32%,89%,78%,69%,44%,69%,85%,78%,79%,65%,73%,74%,61%,68%,75%,54%,53%,55%,35%,76%,70%,69%,53%,41%,35%,35%,76%,78%,55%,67%,66%,50%,63%,82%,47%,47%,55%,28%,28%,21%,32%,39%,33%,46%,31%,18%,18%,40%,26%,35%,58%,35%,42%,36%,35%,32%,39%,22%,79%,63%,61%,74%,68%,88%,61%,57%,11%,12%,56%,66%,56%,42%
Cabinet Office,Cabinet Office,CO,95%,61%,80%,70%,68%,85%,44%,78%,72%,28%,39%,92%,80%,80%,65%,82%,73%,63%,73%,72%,85%,84%,57%,78%,82%,62%,62%,60%,41%,88%,85%,81%,56%,40%,44%,37%,82%,87%,70%,73%,81%,70%,71%,90%,68%,63%,64%,29%,31%,23%,39%,53%,43%,28%,41%,28%,25%,59%,34%,42%,73%,55%,39%,47%,41%,44%,60%,36%,90%,78%,75%,68%,75%,94%,59%,72%,7%,7%,68%,73%,62%,44%
Cabinet Office,Government Procurement Service,GPS,74%,58%,72%,79%,64%,80%,38%,74%,64%,42%,32%,89%,73%,72%,52%,74%,85%,74%,79%,64%,84%,81%,58%,69%,77%,54%,56%,58%,38%,84%,82%,74%,47%,35%,35%,33%,77%,87%,60%,71%,78%,58%,57%,85%,53%,52%,63%,43%,46%,37%,42%,30%,32%,34%,31%,23%,31%,39%,28%,31%,57%,48%,39%,42%,39%,37%,54%,32%,87%,70%,59%,80%,73%,91%,69%,66%,10%,8%,61%,69%,59%,51%
Charity Commission,Charity Commission,CC,85%,58%,77%,83%,71%,84%,37%,78%,73%,28%,48%,89%,84%,76%,60%,78%,84%,82%,83%,70%,88%,83%,66%,75%,80%,73%,68%,66%,39%,85%,87%,80%,51%,47%,15%,33%,83%,85%,66%,79%,85%,73%,77%,89%,59%,52%,75%,28%,32%,23%,44%,68%,48%,27%,40%,44%,23%,72%,61%,51%,53%,42%,51%,40%,35%,55%,60%,40%,87%,72%,67%,80%,69%,97%,76%,73%,10%,10%,70%,72%,63%,49%
Communities and Local Government,Department for Communities and Local Government,DCLG,78%,49%,76%,75%,71%,82%,47%,76%,72%,36%,40%,89%,80%,72%,60%,76%,75%,72%,78%,72%,85%,85%,62%,79%,82%,72%,65%,66%,40%,85%,83%,78%,60%,50%,39%,41%,81%,86%,64%,70%,83%,71%,78%,85%,63%,56%,65%,38%,37%,32%,43%,53%,42%,39%,39%,29%,20%,60%,41%,39%,32%,32%,29%,30%,30%,50%,64%,43%,88%,70%,71%,63%,73%,95%,67%,71%,7%,7%,62%,68%,57%,48%
Communities and Local Government,Planning Inspectorate,PINS,87%,59%,78%,86%,72%,79%,51%,76%,73%,37%,44%,93%,86%,83%,52%,77%,89%,83%,87%,70%,85%,86%,68%,81%,83%,67%,68%,73%,44%,84%,78%,75%,60%,49%,48%,47%,79%,88%,65%,71%,90%,72%,80%,90%,66%,54%,62%,37%,41%,33%,48%,50%,46%,45%,41%,34%,26%,64%,42%,48%,59%,47%,50%,45%,40%,45%,53%,32%,92%,65%,68%,69%,78%,92%,60%,75%,6%,5%,63%,69%,57%,48%
"Culture, Media and Sport","Department for Culture, Media and Sport",DCMS,66%,51%,72%,69%,65%,79%,28%,74%,62%,24%,31%,87%,75%,70%,55%,74%,70%,62%,74%,66%,80%,80%,58%,77%,79%,58%,54%,58%,38%,84%,81%,72%,37%,26%,27%,22%,75%,86%,62%,71%,75%,59%,64%,82%,61%,43%,52%,25%,26%,20%,28%,42%,37%,23%,30%,20%,16%,51%,30%,32%,54%,31%,41%,33%,28%,31%,42%,13%,86%,64%,66%,68%,66%,95%,62%,65%,8%,10%,54%,60%,54%,42%
"Culture, Media and Sport",The Royal Parks,TRP,60%,72%,81%,88%,72%,80%,55%,82%,78%,23%,55%,88%,75%,80%,75%,86%,89%,86%,89%,72%,84%,89%,63%,81%,86%,70%,67%,71%,41%,88%,83%,69%,72%,55%,41%,52%,84%,94%,70%,78%,89%,73%,88%,95%,77%,63%,64%,22%,23%,25%,67%,61%,59%,56%,59%,36%,35%,63%,48%,61%,84%,75%,72%,63%,61%,59%,56%,44%,94%,76%,73%,88%,75%,78%,64%,65%,9%,17%,68%,79%,71%,56%
Defence,Ministry of Defence,MOD,50%,54%,73%,78%,61%,74%,49%,72%,67%,29%,26%,89%,78%,72%,55%,73%,82%,74%,79%,61%,77%,78%,54%,68%,74%,54%,52%,59%,37%,79%,76%,68%,60%,44%,44%,46%,79%,83%,59%,67%,80%,61%,68%,84%,59%,55%,62%,31%,30%,26%,24%,32%,29%,27%,22%,14%,11%,45%,23%,33%,53%,34%,51%,35%,29%,25%,36%,19%,88%,68%,63%,53%,76%,85%,60%,55%,11%,10%,58%,65%,56%,52%
Defence,Defence Support Group,DSG,54%,51%,65%,65%,46%,70%,28%,61%,66%,21%,26%,84%,68%,65%,42%,63%,67%,60%,69%,46%,63%,61%,42%,50%,57%,36%,36%,42%,27%,80%,74%,56%,31%,29%,26%,28%,69%,78%,46%,52%,77%,51%,63%,80%,62%,60%,67%,19%,24%,19%,26%,34%,28%,23%,21%,18%,16%,38%,20%,31%,43%,36%,38%,30%,27%,27%,31%,20%,89%,54%,47%,47%,81%,70%,52%,48%,15%,11%,60%,65%,57%,55%
Defence,Dstl,DSTL,79%,60%,79%,77%,62%,76%,58%,76%,67%,29%,42%,92%,83%,79%,61%,81%,83%,75%,74%,61%,84%,80%,54%,67%,72%,55%,53%,58%,37%,80%,77%,72%,64%,54%,58%,54%,78%,85%,64%,78%,77%,62%,67%,86%,53%,54%,67%,27%,38%,20%,44%,46%,47%,50%,38%,27%,25%,59%,33%,51%,66%,55%,52%,44%,39%,58%,62%,38%,89%,74%,60%,71%,77%,90%,57%,73%,10%,10%,62%,68%,56%,50%
Defence,UK Hyrdographic Office,UKHO,67%,59%,72%,81%,62%,83%,48%,69%,71%,30%,35%,89%,77%,75%,54%,66%,86%,78%,80%,61%,78%,77%,60%,70%,72%,56%,53%,58%,35%,86%,84%,78%,61%,50%,40%,42%,75%,84%,56%,62%,83%,68%,73%,83%,64%,61%,68%,28%,35%,25%,33%,37%,34%,45%,31%,19%,30%,54%,29%,35%,65%,44%,52%,41%,38%,28%,40%,18%,88%,66%,64%,66%,73%,89%,67%,72%,10%,9%,59%,66%,57%,52%
Education,Department for Education,DFE,91%,51%,74%,81%,68%,83%,46%,73%,70%,41%,32%,88%,78%,74%,56%,75%,83%,77%,81%,69%,83%,84%,63%,76%,79%,66%,64%,57%,43%,85%,84%,81%,56%,49%,39%,39%,76%,86%,63%,66%,80%,66%,73%,88%,71%,53%,60%,42%,41%,38%,32%,41%,35%,29%,30%,21%,16%,53%,29%,31%,46%,35%,35%,33%,31%,33%,54%,27%,85%,68%,65%,64%,76%,94%,64%,63%,11%,9%,58%,66%,55%,42%
Energy & Climate Change,Department of Energy & Climate Change,DECC,87%,58%,79%,87%,68%,81%,56%,78%,70%,30%,44%,91%,82%,77%,64%,82%,89%,86%,87%,71%,84%,84%,62%,80%,80%,61%,59%,58%,38%,85%,82%,75%,69%,56%,50%,47%,83%,88%,69%,72%,80%,69%,73%,87%,72%,52%,59%,32%,32%,25%,42%,63%,50%,24%,44%,28%,27%,69%,42%,48%,63%,49%,41%,43%,42%,45%,60%,33%,87%,71%,68%,77%,66%,94%,59%,71%,8%,7%,67%,72%,60%,45%
"Environemnt, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",DEFRA,87%,52%,76%,77%,68%,82%,45%,76%,72%,31%,35%,88%,79%,73%,59%,79%,77%,74%,79%,70%,85%,85%,62%,76%,81%,63%,61%,60%,41%,86%,82%,77%,59%,46%,36%,41%,80%,87%,65%,74%,81%,71%,77%,86%,72%,55%,65%,32%,33%,27%,35%,49%,41%,28%,34%,23%,16%,58%,31%,38%,44%,36%,38%,32%,29%,41%,59%,36%,86%,71%,68%,69%,71%,94%,62%,69%,11%,9%,59%,66%,57%,47%
"Environemnt, Food and Rural Affairs",Animal Health and Veterinary Laboratories Agency,AHVLA,64%,45%,65%,59%,59%,74%,32%,67%,64%,27%,19%,86%,72%,65%,40%,63%,62%,54%,62%,57%,79%,75%,50%,61%,72%,60%,50%,54%,35%,80%,77%,66%,47%,36%,20%,25%,72%,80%,52%,65%,76%,55%,63%,83%,64%,48%,62%,24%,32%,24%,16%,27%,21%,17%,16%,11%,10%,33%,20%,24%,31%,20%,34%,23%,19%,25%,42%,23%,87%,59%,53%,53%,76%,92%,62%,56%,13%,11%,54%,61%,53%,47%
